0	-1.67481	1.24793
0.010021	10.9775	1.25856
0.020024	4.7429	1.25856
0.029958	-3.26569	1.28043
0.040001	-1.82668	1.28071
0.050019	-12.0388	1.26831
0.060062	-2.8067	1.26831
0.070023	-11.3385	1.25103
0.08004	0.715842	1.25103
0.089963	-5.22389	1.24096
0.100054	8.22578	1.24084
0.110023	-3.74973	1.2466
0.119972	-5.79231	1.2466
0.130015	0.448237	1.23065
0.139946	-9.53026	1.23065
0.149962	8.17152	1.22759
0.160078	-9.85078	1.22755
0.169949	3.79195	1.2402
0.180031	3.24271	1.2404
0.189984	-4.72678	1.23291
0.200023	2.44984	1.23287
0.20998	-3.53567	1.21129
0.220018	5.81411	1.21116
0.22997	-6.41208	1.21424
0.239985	-3.98092	1.21426
0.250024	-4.10215	1.1961
0.259971	-7.60211	1.1961
0.269973	0.893953	1.17017
0.279989	-1.47468	1.16996
0.289999	10.7355	1.18679
0.29998	-11.5312	1.1868
0.309981	8.4855	1.19825
0.320023	-7.2479	1.19832
0.329978	-1.63583	1.2036
0.33999	2.49121	1.20363
0.349976	1.82485	1.20363
0.359972	6.49299	1.22844
0.369986	-4.11043	1.23241
0.379986	22.5693	1.23243
0.39002	-13.875	1.24394
0.399994	-0.607856	1.24394
0.410024	6.02397	1.2342
0.419975	3.99962	1.2342
0.429996	-6.79981	1.2519
0.439988	-10.7388	1.25192
0.449977	9.79764	1.23872
0.459984	-23.2666	1.23863
0.469936	2.63229	1.203
0.479978	-2.6901	1.2023
0.489974	-2.79502	1.17901
0.499943	8.90362	1.17882
0.510048	0.36085	1.18414
0.519984	11.4378	1.18414
0.529966	-13.2288	1.19159
0.540002	13.1255	1.19167
0.549982	5.44036	1.19608
0.559986	-10.5879	1.1961
0.569949	9.24122	1.23318
0.579988	-1.58513	1.23375
0.590042	3.54041	1.24926
0.599933	-8.23625	1.24926
0.609984	4.14012	1.24661
0.619936	-1.80272	1.2466
0.629985	-6.5317	1.2563
0.639926	6.34007	1.25635
0.649961	-6.23208	1.26204
0.65999	2.09699	1.26211
0.669987	-4.35912	1.25769
0.679882	1.97512	1.25768
0.689924	-7.7497	1.24815
0.699869	-3.43102	1.24793
